brokerage_id	name	section	row	ticket_price	p	 	compared
89	ASC Ticket Company	428	6	199.98	226		1.13
89	ASC Ticket Company	209	11	231.29	263		1.14
89	ASC Ticket Company	226	H	92.92	106		1.14
89	ASC Ticket Company	233	F	106.05	121		1.14
89	ASC Ticket Company	233	K	95.95	109		1.14
89	ASC Ticket Company	235	1	241.39	274		1.14
89	ASC Ticket Company	235	2	231.29	263		1.14
89	ASC Ticket Company	235	2	324.21	368		1.14
89	ASC Ticket Company	235	3	310.07	352		1.14
89	ASC Ticket Company	235	D	106.05	121		1.14
89	ASC Ticket Company	236W	21W	207.05	236		1.14
89	ASC Ticket Company	310	1	211.09	240		1.14
89	ASC Ticket Company	310	1	253.51	288		1.14
89	ASC Ticket Company	310W	8WC	241.39	274		1.14
89	ASC Ticket Company	311	1	217.15	247		1.14
89	ASC Ticket Company	311	1	310.07	352		1.14
89	ASC Ticket Company	327	8	227.25	258		1.14
89	ASC Ticket Company	337	6	156.55	178		1.14
89	ASC Ticket Company	339	5	169.68	193		1.14
89	ASC Ticket Company	340	4	184.83	210		1.14
89	ASC Ticket Company	359	7	164.63	187		1.14
89	ASC Ticket Company	360	9	156.55	178		1.14
89	ASC Ticket Company	417	2	224.22	255		1.14
89	ASC Ticket Company	417	2	261.59	297		1.14
89	ASC Ticket Company	428	6	233.31	265		1.14
89	ASC Ticket Company	GEICO	PARKING LOT	136.35	155		1.14
89	ASC Ticket Company	GEICO	PARKING LOT	140.39	160		1.14
89	ASC Ticket Company	GEICO	PARKING LOT	146.45	167		1.14
89	ASC Ticket Company	233	E	108.07	124		1.15
1851	Aaron Lowinger Ticketing LLC	136	B	471.70	503		1.07
1851	Aaron Lowinger Ticketing LLC	136	B	482.30	515		1.07
1851	Aaron Lowinger Ticketing LLC	136	B	567.10	605		1.07
1851	Aaron Lowinger Ticketing LLC	202	16	1004.88	1072		1.07
1851	Aaron Lowinger Ticketing LLC	202	16	1245.50	1328		1.07
1851	Aaron Lowinger Ticketing LLC	202	16	1425.70	1520		1.07
1851	Aaron Lowinger Ticketing LLC	202	16	1898.93	2025		1.07
1851	Aaron Lowinger Ticketing LLC	202	16	249.10	266		1.07
1851	Aaron Lowinger Ticketing LLC	202	16	254.40	272		1.07
1851	Aaron Lowinger Ticketing LLC	202	16	290.44	310		1.07
1851	Aaron Lowinger Ticketing LLC	202	16	348.74	372		1.07
1851	Aaron Lowinger Ticketing LLC	209	9	1425.70	1520		1.07
1851	Aaron Lowinger Ticketing LLC	209	9	1563.50	1667		1.07
